table_schema,table_name,column_name,data_type
public,app_a857ad95a4_location_logs,longitude,numeric
public,app_a857ad95a4_checkins,user_id,uuid
public,app_a857ad95a4_checkins,latitude,numeric
public,app_a857ad95a4_checkins,longitude,numeric
public,app_a857ad95a4_checkins,created_at,timestamp with time zone
public,app_a857ad95a4_checkins,destination_id,uuid
public,app_a857ad95a4_checkins,itinerary_id,uuid
public,app_a857ad95a4_destinations,id,uuid
public,app_a857ad95a4_destinations,itinerary_id,uuid
public,app_a857ad95a4_destinations,user_id,uuid
public,app_a857ad95a4_destinations,latitude,numeric
public,app_a857ad95a4_destinations,longitude,numeric
public,app_a857ad95a4_destinations,planned_arrival,timestamp with time zone
public,app_a857ad95a4_destinations,auto_checkin_interval,integer
public,app_a857ad95a4_destinations,order_index,integer
public,app_a857ad95a4_destinations,created_at,timestamp with time zone
public,app_a857ad95a4_destinations,updated_at,timestamp with time zone
public,app_a857ad95a4_efirs,id,uuid
public,app_a857ad95a4_efirs,user_id,uuid
public,app_a857ad95a4_efirs,generated_at,timestamp with time zone
public,app_a857ad95a4_efirs,filed_at,timestamp with time zone
public,app_a857ad95a4_efirs,created_at,timestamp with time zone
public,app_a857ad95a4_efirs,updated_at,timestamp with time zone
public,app_a857ad95a4_emergency_contacts,id,uuid
public,app_a857ad95a4_emergency_contacts,user_id,uuid
public,app_a857ad95a4_emergency_contacts,is_primary,boolean
public,app_a857ad95a4_emergency_contacts,order_index,integer
public,app_a857ad95a4_emergency_contacts,created_at,timestamp with time zone
public,app_a857ad95a4_emergency_contacts,updated_at,timestamp with time zone
public,app_a857ad95a4_alerts,id,uuid
public,app_a857ad95a4_alerts,user_id,uuid
public,app_a857ad95a4_alerts,latitude,numeric
public,app_a857ad95a4_alerts,longitude,numeric
public,app_a857ad95a4_alerts,is_read,boolean
public,app_a857ad95a4_alerts,created_at,timestamp with time zone
public,app_a857ad95a4_location_logs,id,uuid
public,app_a857ad95a4_location_logs,user_id,uuid
public,app_a857ad95a4_location_logs,latitude,numeric
public,app_a857ad95a4_restricted_zones,id,uuid
public,app_a857ad95a4_location_logs,in_restricted_zone,boolean
public,app_a857ad95a4_location_logs,timestamp,timestamp with time zone
public,app_a857ad95a4_tourists,id,uuid
